Entries|Source
['BROINIENAS', 'KOI', 'NETTA', 'TTRENALUGOS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=120._Monataggart_III
['MAQI', 'MAQI', 'OGGODIKA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=141._Aglish_I
['LUGUQRIT', 'MAQI', 'QRITTI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=146._Ballineanig
['COIMAGNI', 'MAQI', 'VITALIN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=166._Ballinvoher
['QENILOC', 'GNI', 'MAQI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=192._Martramane
['BNAG', 'MAQQI', 'RCIA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=205._Derrygariff
['GOSOCTEAS', 'MOSAC', 'MAKINI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=216._Whitefield_II
['NOCATI', 'MAQI', 'MAQI', 'RET', 'MAQI', 'MUCOI', 'UDDAMI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=217._Whitefield_III
['LAGOBB', 'MUCO', 'TUCACAC']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=218._Whitefield_IV
['ANM', 'VINNAGITLET']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=223._Parknasilla
['DUMELI', 'MAQI', 'GLASICONAS', 'NIOTTA', 'COBRANORA']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=252._Gurrane
['GALEOTOS']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=253._Killorglin
['CI', 'LA', 'MAQQI', 'BAGNI', 'ANM', 'VURUDDRANN', 'MAQI', 'DOLIGENN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=255._Tinnahally_I
['ANM', 'TEGANN', 'MAC', 'DEGLANN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=256._Tinnahally_II
['NACI', 'MAQI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=264._Ardmore_II
['CATTUVIR']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=268._Dromore_III
['BIVODON', 'MUCOI', 'ATAR']|https://ogham.celt.dias.ie/stone.php?lang=en&site=National_Museum&stone=285._Kilbeg
['BRRUAENANN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Parkavonear&stone=242._Parkavonear
['ANM', 'SILLANN', 'MAQ', 'VATTILLOGG']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Ratass&stone=Ratass
['VRAICCI', 'MAQI', 'MEDVVI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Rathcroghan&stone=12._Rathcroghan_I
['MA', 'REGAS', 'MUCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Rathcroghan&stone=13._Rathcroghan_II
['DUNAIDONAS', 'MAQI', 'MARIANI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Rathglass&stone=16._Rathglass
['COMMAGGAGNI', 'MUCOI', 'ISAMMNN']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Rathkenny&stone=1083._Rathkenny_I
['OLISSEGVOG']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Rathkenny&stone=1084._Rathkenny_II
['MAC', 'COBBA', 'AVI', 'VLATIAMI', 'MAQ']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Trinity_College_Dublin&stone=185._Inishvickillane
['MUCOI']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Tullaherin&stone=Tullaherin_II
['VIR']|https://ogham.celt.dias.ie/stone.php?lang=en&site=Tullaherin&stone=35._Tullaherin_I
